"","race","age","yeardth","rate","count","pop","yearbth","mod","modnotreat","modcrazytreat"
"768","White",32.5,1976,0,0,12570109,1943.5,1.03540852421817e-07,1.03540852421817e-07,1.03540852421817e-07
"769","Black",37.5,1981,0,0,1505271,1943.5,4.90452891900445e-07,4.90452891900445e-07,4.90452891900445e-07
"770","White",37.5,1981,0,0,12437329,1943.5,1.42067697674902e-07,1.42067697674902e-07,1.42067697674902e-07
"771","Black",42.5,1986,0,0,1499631,1943.5,2.01378847122082e-06,2.03934972929586e-06,1.92475308522161e-06
"772","White",42.5,1986,0,0,12389959,1943.5,7.19674344714816e-07,7.509703064164e-07,6.95638383663038e-07
"773","Black",47.5,1991,0.7,10,1456443,1943.5,7.33269060037508e-06,7.74893481595104e-06,5.86348994764899e-06
"774","White",47.5,1991,0.4,49,12124013,1943.5,2.87924840527793e-06,3.44445734809016e-06,2.43816323694946e-06
"775","Black",52.5,1996,5.2,76,1455717,1943.5,2.91100637936419e-05,3.20471448782991e-05,1.85567528976996e-05
"776","White",52.5,1996,1.8,213,12129717,1943.5,1.1656302413489e-05,1.53810343129992e-05,8.70829830386937e-06
"777","Black",57.5,2001,11.9,167,1405420,1943.5,0.000106325268764309,0.000117739008481933,6.4541129465167e-05
"778","White",57.5,2001,4,474,11931777,1943.5,4.00566555089512e-05,5.35625655068353e-05,2.91653004024412e-05
"779","Black",62.5,2006,24.1,322,1338551,1943.5,0.000304874660868282,0.000337244411708703,0.000183911411726381
"780","White",62.5,2006,9.4,1084,11539811,1943.5,0.000111278489028603,0.000148651499634453,8.06287593260562e-05
"781","Black",67.5,2011,42.1,526,1249677,1943.5,0.000629670910248331,0.000693777586793125,0.00038187468672679
"782","White",67.5,2011,16.6,1826,10971501,1943.5,0.000251790321230419,0.000334770046977759,0.000182413677713059
"783","Black",27.5,1972,0,0,1553487,1944.5,0,0,0
"784","White",27.5,1972,0,0,13316458,1944.5,9.67661679939937e-08,9.67661679939937e-08,9.67661679939937e-08
"785","Black",32.5,1977,0,0,1605794,1944.5,0,0,0
"786","White",32.5,1977,0,0,13690923,1944.5,1.03540852421817e-07,1.03540852421817e-07,1.03540852421817e-07
"787","Black",37.5,1982,0,0,1592554,1944.5,4.90452891900445e-07,4.90452891900445e-07,4.90452891900445e-07
"788","White",37.5,1982,0,0,13501483,1944.5,1.42067697674902e-07,1.42067697674902e-07,1.42067697674902e-07
"789","Black",42.5,1987,0,0,1587484,1944.5,2.00318178070695e-06,2.03934972929586e-06,1.87647966118939e-06
"790","White",42.5,1987,0.1,14,13461401,1944.5,7.02174061189891e-07,7.509703064164e-07,6.64624902739415e-07
"791","Black",47.5,1992,1.5,24,1550354,1944.5,7.22288934682908e-06,7.74893481595104e-06,5.36288311368292e-06
"792","White",47.5,1992,0.4,51,13260546,1944.5,2.77525140160322e-06,3.44445734809016e-06,2.25173680281587e-06
"793","Black",52.5,1997,4.6,72,1554594,1944.5,2.90349978637754e-05,3.20471448782991e-05,1.81695534587258e-05
"794","White",52.5,1997,1.5,199,13273133,1944.5,1.15770264617988e-05,1.53810343129992e-05,8.55792726088058e-06
"795","Black",57.5,2002,11.6,174,1506391,1944.5,0.000106276541221829,0.000117739008481933,6.42460289898838e-05
"796","White",57.5,2002,3.9,505,12944769,1944.5,3.99975755932226e-05,5.35625655068353e-05,2.90452374953874e-05
"797","Black",62.5,2007,24.7,355,1434547,1944.5,0.000304845549340817,0.000337244411708703,0.00018369042787395
"798","White",62.5,2007,8.8,1105,12525351,1944.5,0.000111235773397954,0.000148651499634453,8.0534046241338e-05
"799","Black",67.5,2012,42.2,567,1342233,1944.5,0.000629656100730935,0.000693777586793125,0.00038171270151608
"800","White",67.5,2012,15.6,1862,11926311,1944.5,0.000251760704554832,0.000334770046977759,0.00018233999239589
"801","Black",27.5,1973,0,0,1629581,1945.5,0,0,0
"802","White",27.5,1973,0,0,13761246,1945.5,9.67661679939937e-08,9.67661679939937e-08,9.67661679939937e-08
"803","Black",32.5,1978,0,0,1679124,1945.5,0,0,0
"804","White",32.5,1978,0,0,14138175,1945.5,1.03540852421817e-07,1.03540852421817e-07,1.03540852421817e-07
"805","Black",37.5,1983,0,0,1676512,1945.5,4.90452891900445e-07,4.90452891900445e-07,4.90452891900445e-07
"806","White",37.5,1983,0,0,13921326,1945.5,1.42067697674902e-07,1.42067697674902e-07,1.42067697674902e-07
"807","Black",42.5,1988,0,0,1674629,1945.5,1.9924215694346e-06,2.03934972929586e-06,1.82707680852317e-06
"808","White",42.5,1988,0.1,10,13903155,1945.5,6.81732734291091e-07,7.509703064164e-07,6.28380841086796e-07
"809","Black",47.5,1993,1.6,27,1641402,1945.5,7.14652902253894e-06,7.74893481595104e-06,5.00794239562393e-06
"810","White",47.5,1993,0.3,46,13715470,1945.5,2.70113119965975e-06,3.44445734809016e-06,2.11771828780467e-06
"811","Black",52.5,1998,5.3,87,1652649,1945.5,2.89831884655101e-05,3.20471448782991e-05,1.78956795995975e-05
"812","White",52.5,1998,1.5,200,13743192,1945.5,1.15207135238337e-05,1.53810343129992e-05,8.44999745496565e-06
"813","Black",57.5,2003,11.7,187,1601717,1945.5,0.000106243312673961,0.000117739008481933,6.40379513572435e-05
"814","White",57.5,2003,3.5,472,13457124,1945.5,3.99557986229043e-05,5.35625655068353e-05,2.89592301560227e-05
"815","Black",62.5,2008,24.3,371,1526427,1945.5,0.000304826123042586,0.000337244411708703,0.000183535250301227
"816","White",62.5,2008,9,1167,13038719,1945.5,0.000111205762045547,0.000148651499634453,8.04663656333481e-05
"817","Black",67.5,2013,40.4,576,1426721,1945.5,0.000629646703616201,0.000693777586793125,0.000381599583359799
"818","White",67.5,2013,16,1985,12396738,1945.5,0.000251740097817806,0.000334770046977759,0.000182287502705414
"819","Black",22.5,1969,0,0,1690998,1946.5,0,0,0
"820","White",22.5,1969,0,0,13553175,1946.5,8.88241194383762e-08,8.88241194383762e-08,8.88241194383762e-08
"821","Black",27.5,1974,0,0,1731570,1946.5,0,0,0
"822","White",27.5,1974,0,0,14361976,1946.5,9.67661679939937e-08,9.67661679939937e-08,9.67661679939937e-08
"823","Black",32.5,1979,0,0,1776205,1946.5,0,0,0
"824","White",32.5,1979,0,0,14736867,1946.5,1.03540852421817e-07,1.03540852421817e-07,1.03540852421817e-07
"825","Black",37.5,1984,0,0,1789375,1946.5,4.88218124019136e-07,4.90452891900445e-07,4.80564276307571e-07
"826","White",37.5,1984,0,0,14507007,1946.5,1.41675907887262e-07,1.42067697674902e-07,1.4137836554084e-07
"827","Black",42.5,1989,0,0,1786091,1946.5,1.97798192725899e-06,2.03934972929586e-06,1.76084579204955e-06
"828","White",42.5,1989,0.1,21,14508003,1946.5,6.62182669018098e-07,7.509703064164e-07,5.93634289037009e-07
"829","Black",47.5,1994,1.5,27,1754927,1946.5,7.10123300688073e-06,7.74893481595104e-06,4.79094368346137e-06
"830","White",47.5,1994,0.5,69,14320927,1946.5,2.65509074267648e-06,3.44445734809016e-06,2.03348643679623e-06
"831","Black",52.5,1999,4.2,75,1769463,1946.5,2.89528354347708e-05,3.20471448782991e-05,1.77288790782847e-05
"832","White",52.5,1999,1.4,198,14367877,1946.5,1.14858968282126e-05,1.53810343129992e-05,8.38230868981021e-06
"833","Black",57.5,2004,10.2,176,1718064,1946.5,0.000106224235685424,0.000117739008481933,6.39118562264992e-05
"834","White",57.5,2004,3.6,503,14066489,1946.5,3.99301337395497e-05,5.35625655068353e-05,2.89054360554702e-05
"835","Black",62.5,2009,23.6,386,1638670,1946.5,0.000304815387810147,0.000337244411708703,0.000183441834930395
"836","White",62.5,2009,8.4,1147,13643017,1946.5,0.00011118749410289,0.000148651499634453,8.04241792268021e-05
"837","Black",67.5,2014,39.4,601,1524200,1946.5,0.000629641997433726,0.000693777586793125,0.000381532102521701
"838","White",67.5,2014,17.1,2209,12944676,1946.5,0.000251727731093165,0.000334770046977759,0.000182254928260264
